station_name,station_code,longitude,latitude,
TANAH MERAH,EW4,103.9465479,1.327254082
TANJONG PAGAR,EW15,103.8458536,1.276515032
TELOK AYER,DT18,103.8483128,1.282280585
TELOK BLANGAH,CC28,103.8097398,1.270581786
TIONG BAHRU,EW17,103.8270343,1.286219741
TOA PAYOH,NS19,103.8474212,1.332677393
TUAS CRESCENT,EW31,103.6490635,1.321053252
TUAS LINK,EW33,103.6368187,1.340379948
TUAS WEST ROAD,EW32,103.6396276,1.329981824
UBI,DT27,103.8992489,1.329955265
UPPER CHANGI,DT34,103.9614733,1.341740479
UPPER THOMSON,TE8,103.8329238,1.35440505
WOODLANDS,NS9/TE2,103.7870406,1.436452896
WOODLANDS NORTH,TE1,103.7856747,1.448350098
WOODLANDS SOUTH,TE3,103.793896,1.427095477
WOODLEIGH,NE11,103.8708092,1.339207088
YEW TEE,NS5,103.7474021,1.397549633
YIO CHU KANG,NS15,103.8448008,1.381757607
YISHUN,NS13,103.8349722,1.429581751
EUSOFF HALL,X,103.770437,1.293813
KENT RIDGE HALL,X,103.774812,1.291813
KING EDWARD VII HALL,X,103.781063,1.292438
RAFFLES HALL,X,103.773938,1.300063
SHEARES HALL,X,103.775688,1.291438
TEMASEK HALL,X,103.771438,1.292813
RIDGE VIEW RESIDENTIAL COLLEGE,X,103.777187,1.297563
COLLEGE OF ALICE & PETER TAN,X,103.773313,1.307812
NUS COLLEGE,X,103.773562,1.306688
RESIDENTIAL COLLEGE 4,X,103.773438,1.308187
TEMBUSU COLLEGE,X,103.773813,1.305937
UTOWN RESIDENCE,X,103.773938,1.305188
PRINCE GEORGE'S PARK RESIDENCE,X,103.779438,1.292562
